,name,scores_avg
0,#DRIVE,69.0
1,#IDARB,77.0
2,#KILLALLZOMBIES,53.0
3,'Splosion Man,84.0
4,.detuned,46.0
5,.hack//G.U. Last Recode,72.5
6,.hack//G.U. vol. 1//Rebirth,69.0
7,.hack//G.U. vol. 2//Reminisce,61.0
8,.hack//G.U. vol. 3//Redemption,60.0
9,0 Day Attack on Earth,41.0
10,007 Legends,43.0
11,007: Quantum of Solace,63.8
12,0RBITALIS,73.0
13,1-2-Switch,58.0
14,10 Second Ninja,72.0
15,10 Second Ninja X,79.0
16,100 Classic Books,70.0
17,1000 Tiny Claws,76.0
18,1001 Spikes,78.0
19,100ft Robot Golf,56.0
20,101-in-1 Explosive Megamix,46.0
21,101-in-1 Sports Party Megamix,41.0
22,11-11: Memories Retold,75.66666666666667
23,112 Operator,73.0
24,12 is Better Than 6,59.0
25,13 Sentinels: Aegis Rim,85.0
26,140,70.0
27,1701 A.D.,79.0
28,187 Ride or Die,51.5
29,1942: Joint Strike,68.5
30,1950s Lawn Mower Kids,43.0
31,1954: Alcatraz,58.0
32,1979 Revolution: Black Friday,75.66666666666667
33,198X,67.33333333333333
34,2010 FIFA World Cup South Africa,76.0
35,2014 FIFA World Cup Brazil,73.5
36,2064: Read Only Memories,78.0
37,2064: Read Only Memories INTEGRAL,74.0
38,20XX,77.0
39,24: The Game,62.0
40,25 to Life,39.666666666666664
41,2Dark,62.333333333333336
42,3 on 3 NHL Arcade,65.0
43,3000th Duel,71.0
44,300: March to Glory,55.0
45,39 Days to Mars,71.0
46,3D After Burner II,81.0
47,3D Classics: Kid Icarus,77.0
48,3D Classics: Kirby's Adventure,77.0
49,3D Classics: TwinBee,68.0
50,3D Classics: Urban Champion,37.0
51,3D Classics: Xevious,56.0
52,3D Dot Game Heroes,77.0
53,3D Fantasy Zone II W,81.0
54,3D Gunstar Heroes,89.0
55,3D Out Run,87.0
56,3D Sonic the Hedgehog 2,87.0
57,3D Streets of Rage II,89.0
58,3D Thunder Blade,74.0
59,3D Ultra MiniGolf Adventures,66.0
60,428: Shibuya Scramble,85.0
61,4PM,41.0
62,50 Cent: Blood on the Sand,71.5
63,50 Cent: Bulletproof,48.5
64,50 Cent: Bulletproof G Unit Edition,52.0
65,60 Parsecs!,68.0
66,7 Days to Die,40.0
67,7 Wonders of the Ancient World,55.5
68,7554,41.0
69,7th Dragon III Code: VFD,76.0
70,8-Bit Adventure Anthology: Volume One,71.0
71,8-Bit Armies,69.0
72,8-Bit Hordes,63.0
73,80 DAYS,84.0
74,80 Days (2005),58.0
75,80 Days (2015),84.0
76,88 Heroes,72.0
77,88 Heroes: 98 Heroes Edition,65.0
78,9 Monkeys of Shaolin,70.75
79,911 Operator,68.0
80,99Bullets,74.0
81,99Vidas,61.0
82,A Bastard's Tale,48.0
83,A Bird Story,66.0
84,A Boy and His Blob,80.0
85,A Case of Distrust,77.0
86,A City Sleeps,61.0
87,A Fisherman's Tale,74.0
88,A Fistful of Gun,60.0
89,A Fold Apart,77.0
90,A Game of Dwarves,60.0
91,A Game of Thrones: Genesis,53.0
92,A Golden Wake,68.0
93,A Hat in Time,77.0
94,A Juggler's Tale,69.0
95,A Kingdom for Keflings,78.0
96,A Knight's Quest,60.5
97,A Little Golf Journey,80.0
98,A New Beginning - Final Cut,72.0
99,A Normal Lost Phone,72.0
100,A Pixel Story,73.5
101,A Plague Tale: Innocence,81.66666666666667
102,A Robot Named Fight!,71.0
103,A Rose in the Twilight,75.0
104,A Short Hike,85.0
105,A Space Shooter for 2 Bucks,81.0
106,A Story About My Uncle,73.0
107,A Total War Saga: TROY,75.0
108,A Total War Saga: Thrones of Britannia,75.0
109,A Valley Without Wind,54.0
110,A Virus Named TOM,65.0
111,A Way Out,78.33333333333333
112,A Witch's Tale,50.0
113,A World of Keflings,77.0
114,A-Train: All Aboard! Tourism,67.0
115,A.R.E.S. Extinction Agenda EX,66.0
116,A.W.: Phoenix Festa,55.0
117,ABZU,80.33333333333333
118,AC/DC Live: Rock Band Track Pack,61.5
